case,t_hours,T,sigma,f1
B slow ramp,50.0000,295.6500,-2.911580e+04,3.43432867
B slow ramp,52.0000,295.7500,-3.001784e+04,3.43432867
B slow ramp,54.0000,295.8500,-3.091327e+04,3.42505796
B slow ramp,56.0000,295.9500,-3.180236e+04,3.42505796
B slow ramp,58.0000,296.0500,-3.268536e+04,3.41591048
B slow ramp,60.0000,296.1500,-3.356251e+04,3.41591048
B slow ramp,62.0000,296.2500,-3.443404e+04,3.40667452
B slow ramp,64.0000,296.3500,-3.530015e+04,3.40667452
B slow ramp,66.0000,296.4500,-3.616105e+04,3.40667452
B slow ramp,68.0000,296.5500,-3.701695e+04,3.39734587
B slow ramp,70.0000,296.6500,-3.786801e+04,3.39734587
B slow ramp,72.0000,296.7500,-3.871443e+04,3.38811565
B slow ramp,74.0000,296.8500,-3.955636e+04,3.38811565
B slow ramp,76.0000,296.9500,-4.039398e+04,3.38811565
B slow ramp,78.0000,297.0500,-4.122743e+04,3.37878046
B slow ramp,80.0000,297.1500,-4.205686e+04,3.37878046
B slow ramp,82.0000,297.2500,-4.288242e+04,3.36933642
B slow ramp,84.0000,297.3500,-4.370424e+04,3.36933642
B slow ramp,86.0000,297.4500,-4.452245e+04,3.35996996
B slow ramp,88.0000,297.5500,-4.533717e+04,3.35996996
B slow ramp,90.0000,297.6500,-4.614852e+04,3.35996996
B slow ramp,92.0000,297.7500,-4.695662e+04,3.35048391
B slow ramp,94.0000,297.8500,-4.776157e+04,3.35048391
B slow ramp,96.0000,297.9500,-4.856349e+04,3.34106244
B slow ramp,98.0000,298.0500,-4.936246e+04,3.34106244
B slow ramp,100.0000,298.1500,-5.015859e+04,3.34106244
B slow ramp,102.0000,298.2500,-5.095197e+04,3.33151177
B slow ramp,104.0000,298.3500,-5.174268e+04,3.33151177
B slow ramp,106.0000,298.4500,-5.253082e+04,3.33151177
B slow ramp,108.0000,298.5500,-5.331646e+04,3.32201423
B slow ramp,110.0000,298.6500,-5.409969e+04,3.32201423
B slow ramp,112.0000,298.7500,-5.488057e+04,3.31237884
B slow ramp,114.0000,298.8500,-5.565918e+04,3.31237884
B slow ramp,116.0000,298.9500,-5.643559e+04,3.31237884
B slow ramp,118.0000,299.0500,-5.720987e+04,3.30278647
B slow ramp,120.0000,299.1500,-5.798209e+04,3.30278647
B slow ramp,122.0000,299.2500,-5.875229e+04,3.29323182
B slow ramp,124.0000,299.3500,-5.952055e+04,3.29323182
B slow ramp,126.0000,299.4500,-6.028692e+04,3.29323182
B slow ramp,128.0000,299.5500,-6.105145e+04,3.28352722
B slow ramp,130.0000,299.6500,-6.181421e+04,3.28352722
B slow ramp,132.0000,299.7500,-6.257523e+04,3.28352722
B slow ramp,134.0000,299.8500,-6.333458e+04,3.27385212
B slow ramp,136.0000,299.9500,-6.409229e+04,3.27385212
B slow ramp,138.0000,300.0500,-6.484842e+04,3.26420228
B slow ramp,140.0000,300.1500,-6.560300e+04,3.26420228
B slow ramp,142.0000,300.2500,-6.635608e+04,3.26420228
B slow ramp,144.0000,300.3500,-6.710771e+04,3.25439235
B slow ramp,146.0000,300.4500,-6.785792e+04,3.25439235
B slow ramp,148.0000,300.5500,-6.860674e+04,3.25439235
B slow ramp,150.0000,300.6500,-6.935422e+04,3.24460089
B slow ramp,152.0000,300.7500,-7.010040e+04,3.24460089
B slow ramp,154.0000,300.8500,-7.084529e+04,3.23482448
B slow ramp,156.0000,300.9500,-7.158895e+04,3.23482448
B slow ramp,158.0000,301.0500,-7.233140e+04,3.23482448
B slow ramp,160.0000,301.1500,-7.307268e+04,3.22505999
B slow ramp,162.0000,301.2500,-7.381280e+04,3.22505999
B slow ramp,164.0000,301.3500,-7.455181e+04,3.22505999
B slow ramp,166.0000,301.4500,-7.528973e+04,3.21512394
B slow ramp,168.0000,301.5500,-7.602658e+04,3.21512394
B slow ramp,170.0000,301.6500,-7.676240e+04,3.21512394
B slow ramp,172.0000,301.7500,-7.749720e+04,3.20519447
B slow ramp,174.0000,301.8500,-7.823102e+04,3.20519447
B slow ramp,176.0000,301.9500,-7.896387e+04,3.19526899
B slow ramp,178.0000,302.0500,-7.969579e+04,3.19526899
B slow ramp,180.0000,302.1500,-8.042678e+04,3.19526899
B slow ramp,182.0000,302.2500,-8.115688e+04,3.18534511
B slow ramp,184.0000,302.3500,-8.188610e+04,3.18534511
B slow ramp,186.0000,302.4500,-8.261447e+04,3.18534511
B slow ramp,188.0000,302.5500,-8.334200e+04,3.17542063
B slow ramp,190.0000,302.6500,-8.406871e+04,3.17542063
B slow ramp,192.0000,302.7500,-8.479462e+04,3.17542063
B slow ramp,194.0000,302.8500,-8.551976e+04,3.16531298
B slow ramp,196.0000,302.9500,-8.624412e+04,3.16531298
B slow ramp,198.0000,303.0500,-8.696775e+04,3.15520058
B slow ramp,200.0000,303.1500,-8.769064e+04,3.15520058
C up-down-up,2.0000,293.4530,-8.060502e+03,3.53206586
C up-down-up,4.0000,293.7561,-1.343766e+04,3.50372053
C up-down-up,6.0000,294.0591,-1.817202e+04,3.48437287
C up-down-up,8.0000,294.3621,-2.247462e+04,3.46564157
C up-down-up,10.0000,294.6652,-2.646781e+04,3.44639011
C up-down-up,12.0000,294.9682,-3.023499e+04,3.42738672
C up-down-up,14.0000,295.2712,-3.383363e+04,3.41822011
C up-down-up,16.0000,295.5742,-3.730361e+04,3.39880393
C up-down-up,18.0000,295.8773,-4.067280e+04,3.37999809
C up-down-up,20.0000,296.1803,-4.396088e+04,3.37000644
C up-down-up,22.0000,296.4833,-4.718189e+04,3.35034377
C up-down-up,24.0000,296.7864,-5.034601e+04,3.34064562
C up-down-up,26.0000,297.0894,-5.346071e+04,3.32146563
C up-down-up,28.0000,297.3924,-5.653161e+04,3.31196889
C up-down-up,30.0000,297.6955,-5.956300e+04,3.29169253
C up-down-up,32.0000,297.9985,-6.255826e+04,3.28163495
C up-down-up,34.0000,298.3015,-6.552008e+04,3.26165969
C up-down-up,36.0000,298.6045,-6.845071e+04,3.25173517
C up-down-up,38.0000,298.9076,-7.135201e+04,3.23199817
C up-down-up,40.0000,299.2106,-7.422562e+04,3.22218091
C up-down-up,42.0000,299.5136,-7.707295e+04,3.21239496
C up-down-up,44.0000,299.8167,-7.989527e+04,3.19152175
C up-down-up,46.0000,300.1197,-8.269376e+04,3.18113044
C up-down-up,48.0000,300.4227,-8.546945e+04,3.17076671
C up-down-up,50.0000,300.7258,-8.822334e+04,3.15011483
C up-down-up,52.0000,301.0288,-9.095634e+04,3.13982331
C up-down-up,54.0000,301.3318,-9.366930e+04,3.12955259
C up-down-up,56.0000,301.6348,-9.636303e+04,3.10906754
C up-down-up,58.0000,301.9379,-9.903829e+04,3.09885031
C up-down-up,60.0000,302.2409,-1.016958e+05,3.08796847
C up-down-up,62.0000,302.5439,-1.043362e+05,3.07710210
C up-down-up,64.0000,302.8470,-1.069603e+05,3.05540956
C up-down-up,66.0000,303.1500,-1.095685e+05,3.04458039
C up-down-up,68.0000,302.8470,-9.502464e+04,3.10682815
